Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15W8-IVSD-MAJ"
402,"2148"
403,"2246"
404,"2238"
405,"2231"
406,"2263"
407,"2284"
408,"2184"
409,"2122"
410,"2123"
411,"2118"
412,"2186"
413,"2113"
414,"2108"
415,"2114"
416,"2087"
417,"2135"
418,"2209"
419,"2131"
420,"2064"
421,"2135"
422,"2038"
423,"1982"
424,"2077"
425,"1979"
426,"1892"
427,"2002"
428,"2002"
429,"1944"
430,"2094"
431,"2133"
432,"2179"
433,"2224"
434,"2230"
435,"2363"
436,"2344"
437,"2233"
438,"2257"
439,"2193"
440,"2052"
441,"2040"
442,"1957"
443,"1975"
444,"1931"
445,"2044"
446,"2051"
447,"2034"
448,"2046"
449,"2016"
450,"2055"
451,"2057"
452,"1953"
453,"2110"
454,"2011"
455,"2008"
456,"1976"
457,"2026"
458,"2100"
459,"1991"
460,"2051"
461,"2022"
462,"2001"
463,"2087"
464,"2013"
465,"2061"
466,"2024"
467,"2062"
468,"2080"
469,"2003"
470,"2025"
471,"2025"
472,"2033"
473,"1994"
474,"1994"
475,"2013"
476,"2069"
477,"2009"
478,"2063"
479,"1981"
480,"2030"
481,"1978"
482,"2058"
483,"2087"
484,"2003"
485,"2000"
486,"1975"
487,"2064"
488,"1995"
489,"1985"
490,"1972"
491,"1987"
492,"1874"
493,"1951"
494,"1974"
495,"1955"
496,"1870"
497,"1971"
498,"1899"
499,"1894"
500,"1926"
501,"1849"
502,"1903"
503,"1938"
504,"1975"
505,"1929"
506,"1999"
507,"1986"
508,"2071"
509,"2023"
510,"2095"
511,"2067"
512,"1963"
513,"2008"
514,"1969"
515,"1906"
516,"1809"
517,"1824"
518,"1810"
519,"1776"
520,"1782"
521,"1732"
522,"1775"
523,"1851"
524,"1845"
525,"1773"
526,"1794"
527,"1783"
528,"1775"
529,"1753"
530,"1726"
531,"1777"
532,"1698"
533,"1716"
534,"1687"
535,"1647"
536,"1697"
537,"1740"
538,"1718"
539,"1690"
540,"1655"
541,"1767"
542,"1706"
543,"1665"
544,"1750"
545,"1727"
546,"1644"
547,"1650"
548,"1642"
549,"1621"
550,"1652"
551,"1660"
552,"1588"
553,"1613"
554,"1654"
555,"1656"
556,"1546"
557,"1593"
558,"1606"
559,"1587"
560,"1505"
561,"1497"
562,"1480"
563,"1550"
564,"1478"
565,"1536"
566,"1549"
567,"1493"
568,"1386"
569,"1506"
570,"1489"
571,"1465"
572,"1469"
573,"1409"
574,"1417"
575,"1481"
576,"1381"
577,"1367"
578,"1422"
579,"1452"
580,"1402"
581,"1427"
582,"1377"
583,"1379"
584,"1331"
585,"1349"
586,"1306"
587,"1373"
588,"1360"
589,"1360"
590,"1384"
591,"1387"
592,"1277"
593,"1274"
594,"1362"
595,"1297"
596,"1323"
597,"1230"
598,"1248"
599,"1299"
600,"1257"
601,"1211"
602,"1325"
603,"1202"
604,"1214"
605,"1235"
606,"1196"
607,"1218"
608,"1195"
609,"1260"
610,"1178"
611,"1138"
612,"1064"
613,"1167"
614,"1194"
615,"1164"
616,"1105"
617,"1116"
618,"1074"
619,"1106"
620,"1069"
621,"1112"
622,"1047"
623,"1001"
624,"1049"
625,"1083"
626,"1048"
627,"1088"
628,"1003"
629,"998"
630,"1054"
631,"1009"
632,"1040"
633,"993"
634,"982"
635,"976"
636,"1007"
637,"913"
638,"962"
639,"951"
640,"1004"
641,"928"
642,"959"
643,"895"
644,"925"
645,"928"
646,"887"
647,"933"
648,"925"
649,"872"
650,"908"
651,"822"
652,"877"
653,"834"
654,"789"
655,"793"
656,"819"
657,"784"
658,"723"
659,"719"
660,"814"
661,"709"
662,"732"
663,"699"
664,"774"
665,"752"
666,"662"
667,"652"
668,"673"
669,"708"
670,"690"
671,"658"
672,"626"
673,"599"
674,"662"
675,"666"
676,"615"
677,"622"
678,"579"
679,"609"
680,"575"
681,"545"
682,"556"
683,"578"
684,"502"
685,"514"
686,"540"
687,"515"
688,"528"
689,"459"
690,"468"
691,"501"
692,"422"
693,"441"
694,"423"
695,"418"
696,"414"
697,"422"
698,"414"
699,"382"
700,"403"
701,"363"
702,"381"
703,"334"
704,"339"
705,"335"
706,"326"
707,"316"
708,"292"
709,"301"
710,"281"
711,"273"
712,"276"
713,"250"
714,"237"
715,"227"
716,"209"
717,"220"
718,"195"
719,"200"
720,"172"
721,"205"
722,"192"
723,"154"
724,"134"
725,"164"
726,"152"
727,"137"
728,"118"
729,"127"
730,"131"
731,"121"
732,"101"
733,"99"
734,"108"
735,"93"
736,"98"
737,"85"
738,"79"
739,"78"
740,"86"
741,"59"
742,"65"
743,"73"
744,"59"
745,"48"
746,"40"
747,"45"
748,"39"
749,"36"
750,"35"
751,"27"
752,"37"
753,"16"
754,"16"
755,"10"
756,"11"
757,"8"
758,"17"
759,"7"
760,"12"
761,"9"
762,"10"
763,"7"
764,"4"
765,"8"
766,"5"
767,"4"
768,"5"
769,"3"
770,"6"
771,"15"
772,"5"
773,"9"
774,"11"
775,"7"
776,"7"
777,"9"
778,"8"
779,"4"
780,"7"
781,"7"
782,"10"
783,"5"
784,"8"
785,"13"
786,"3"
787,"6"
788,"9"
789,"5"
790,"5"
791,"8"
792,"11"
793,"5"
794,"7"
795,"4"
796,"9"
797,"6"
798,"6"
799,"4"
800,"7"
801,"9"
802,"5"
803,"7"
804,"5"
805,"7"
806,"6"
807,"4"
808,"3"
809,"3"
810,"6"
811,"10"
812,"5"
813,"6"
814,"2"
815,"9"
816,"10"
817,"3"
818,"9"
819,"7"
820,"11"
821,"7"
822,"7"
823,"7"
824,"4"
825,"6"
826,"7"
827,"5"
828,"5"
829,"2"
830,"4"
831,"8"
832,"4"
833,"6"
834,"9"
835,"2"
836,"4"
837,"5"
838,"5"
839,"2"
840,"8"
841,"3"
842,"3"
843,"3"
844,"5"
845,"6"
846,"2"
847,"3"
848,"6"
849,"4"
850,"6"
851,"6"
852,"4"
853,"5"
854,"5"
855,"2"
856,"2"
857,"4"
858,"2"
859,"2"
860,"2"
861,"2"
862,"1"
863,"7"
864,"3"
865,"0"
866,"6"
867,"5"
868,"5"
869,"3"
870,"5"
871,"7"
872,"1"
873,"3"
874,"5"
875,"6"
876,"5"
877,"4"
878,"2"
879,"3"
880,"3"
881,"6"
882,"4"
883,"5"
884,"3"
885,"3"
886,"7"
887,"2"
888,"0"
889,"5"
890,"4"
891,"1"
892,"5"
893,"3"
894,"4"
895,"2"
896,"2"
897,"3"
898,"0"
899,"2"
900,"5"
901,"2"
902,"5"
903,"1"
904,"3"
905,"3"
906,"2"
907,"2"
908,"3"
909,"4"
910,"2"
911,"3"
912,"2"
913,"0"
914,"3"
915,"2"
916,"1"
917,"2"
918,"0"
919,"3"
920,"1"
921,"1"
922,"6"
923,"5"
924,"2"
925,"1"
926,"4"
927,"0"
928,"2"
929,"3"
930,"2"
931,"2"
932,"0"
933,"3"
934,"4"
935,"0"
936,"2"
937,"0"
938,"2"
939,"0"
940,"0"
941,"4"
942,"0"
943,"1"
944,"2"
945,"1"
946,"2"
947,"3"
948,"0"
949,"3"
950,"0"
951,"3"
952,"2"
953,"1"
954,"2"
955,"1"
956,"0"
957,"1"
958,"1"
959,"3"
960,"2"
961,"1"
962,"1"
963,"0"
964,"2"
965,"0"
966,"1"
967,"2"
968,"1"
969,"2"
970,"3"
971,"1"
972,"0"
973,"0"
974,"6"
975,"0"
976,"2"
977,"1"
978,"0"
979,"0"
980,"1"
981,"1"
982,"1"
983,"1"
984,"2"
985,"1"
986,"0"
987,"1"
988,"0"
989,"1"
990,"2"
991,"0"
992,"0"
993,"1"
994,"1"
995,"0"
996,"3"
997,"2"
998,"0"
999,"2"
1000,"1"
1001,"2"
1002,"0"
1003,"1"
1004,"0"
1005,"0"
1006,"2"
1007,"1"
1008,"0"
1009,"1"
1010,"0"
1011,"0"
1012,"0"
1013,"2"
1014,"2"
1015,"0"
1016,"3"
1017,"0"
1018,"0"
1019,"1"
1020,"0"
1021,"0"
1022,"1"
1023,"0"
1024,"0"
1025,"1"
1026,"2"
1027,"0"
1028,"0"
1029,"1"
1030,"0"
1031,"1"
1032,"1"
1033,"0"
1034,"0"
1035,"2"
1036,"0"
1037,"0"
1038,"1"
1039,"1"
1040,"0"
1041,"0"
1042,"0"
1043,"0"
1044,"1"
1045,"0"
1046,"1"
1047,"0"
1048,"1"
1049,"0"
1050,"2"
1051,"1"
1052,"0"
1053,"0"
1054,"0"
1055,"0"
1056,"1"
1057,"1"
1058,"0"
1059,"0"
1060,"1"
1061,"0"
1062,"1"
1063,"1"
1064,"0"
1065,"1"
1066,"0"
1067,"2"
1068,"0"
1069,"1"
1070,"3"
1071,"0"
1072,"0"
1073,"0"
1074,"1"
1075,"0"
1076,"0"
1077,"0"
1078,"0"
1079,"1"
1080,"0"
1081,"1"
1082,"0"
1083,"0"
1084,"0"
1085,"1"
1086,"0"
1087,"0"
1088,"0"
1089,"0"
1090,"0"
1091,"0"
1092,"0"
1093,"0"
1094,"0"
1095,"1"
1096,"0"
1097,"0"
1098,"1"
1099,"2"
1100,"0"
1101,"0"
1102,"1"
1103,"0"
1104,"0"
1105,"1"
1106,"0"
1107,"0"
1108,"0"
1109,"0"
1110,"0"
1111,"1"
1112,"0"
1113,"0"
1114,"1"
1115,"0"
1116,"0"
1117,"0"
1118,"0"
1119,"1"
1120,"0"
1121,"1"
1122,"0"
1123,"0"
1124,"0"
1125,"0"
1126,"0"
1127,"0"
1128,"0"
1129,"0"
1130,"1"
1131,"0"
1132,"0"
1133,"0"
1134,"0"
1135,"0"
1136,"2"
1137,"0"
1138,"0"
1139,"1"
1140,"0"
1141,"0"
1142,"0"
1143,"0"
1144,"0"
1145,"0"
1146,"0"
1147,"0"
1148,"0"
1149,"0"
1150,"0"
1151,"0"
1152,"0"
1153,"0"
1154,"0"
1155,"1"
1156,"0"
1157,"0"
1158,"0"
1159,"0"
1160,"0"
1161,"0"
1162,"0"
1163,"0"
1164,"0"
1165,"0"
1166,"0"
1167,"0"
1168,"0"
1169,"0"
1170,"0"
1171,"0"
1172,"0"
1173,"1"
1174,"0"
1175,"0"
1176,"1"
1177,"0"
1178,"0"
1179,"0"
1180,"0"
1181,"0"
1182,"0"
1183,"0"
1184,"0"
1185,"0"
1186,"0"
1187,"0"
1188,"0"
1189,"0"
1190,"0"
1191,"0"
1192,"0"
1193,"0"
1194,"1"
1195,"0"
1196,"0"
1197,"0"
1198,"0"
1199,"0"
1200,"0"
1201,"0"
1202,"0"
1203,"0"
1204,"0"
1205,"0"
1206,"0"
1207,"0"
1208,"0"
1209,"0"
1210,"0"
1211,"0"
1212,"0"
1213,"1"
1214,"0"
1215,"0"
1216,"0"
1217,"0"
1218,"0"
1219,"0"
1220,"0"
1221,"0"
1222,"1"
1223,"0"
1224,"0"
1225,"0"
1226,"0"
1227,"0"
1228,"0"
1229,"0"
1230,"0"
1231,"0"
1232,"0"
1233,"0"
1234,"0"
1235,"0"
1236,"0"
1237,"0"
1238,"0"
1239,"0"
1240,"0"
1241,"1"
1242,"1"
1243,"0"
1244,"0"
1245,"0"
1246,"0"
1247,"0"
1248,"0"
1249,"0"
1250,"0"
1251,"0"
1252,"0"
1253,"0"
1254,"0"
1255,"0"
1256,"0"
1257,"0"
1258,"0"
1259,"0"
1260,"0"
1261,"0"
1262,"0"
1263,"0"
1264,"0"
1265,"0"
1266,"0"
1267,"0"
1268,"0"
1269,"0"
1270,"0"
1271,"0"
1272,"0"
1273,"0"
1274,"0"
1275,"0"
1276,"0"
1277,"0"
1278,"0"
1279,"0"
1280,"0"
1281,"0"
1282,"0"
1283,"0"
1284,"0"
1285,"0"
1286,"0"
1287,"0"
1288,"0"
1289,"0"
1290,"0"
1291,"0"
1292,"0"
1293,"0"
1294,"0"
1295,"0"
1296,"0"
1297,"0"
1298,"0"
1299,"0"
1300,"0"
1301,"1"
1302,"0"
1303,"0"
1304,"0"
1305,"0"
1306,"0"
1307,"0"
1308,"0"
1309,"0"
1310,"1"
1311,"0"
1312,"0"
1313,"0"
1314,"0"
1315,"0"
1316,"0"
1317,"0"
1318,"0"
1319,"0"
1320,"0"
1321,"0"
1322,"0"
1323,"0"
1324,"0"
1325,"0"
1326,"0"
1327,"0"
1328,"0"
1329,"0"
1330,"0"
1331,"0"
1332,"0"
1333,"0"
1334,"0"
1335,"0"
1336,"0"
1337,"0"
1338,"0"
1339,"0"
1340,"0"
1341,"0"
1342,"0"
1343,"0"
1344,"0"
1345,"0"
1346,"0"
1347,"0"
1348,"0"
1349,"0"
1350,"0"
1351,"0"
1352,"0"
1353,"0"
1354,"0"
1355,"0"
1356,"0"
1357,"0"
1358,"0"
1359,"0"
1360,"0"
1361,"0"
1362,"0"
1363,"0"
1364,"0"
1365,"0"
1366,"1"
1367,"0"
1368,"0"
1369,"0"
1370,"0"
1371,"0"
1372,"0"
1373,"0"
1374,"1"
1375,"0"
1376,"0"
1377,"0"
1378,"0"
1379,"0"
1380,"0"
1381,"0"
1382,"0"
1383,"0"
1384,"0"
1385,"0"
1386,"0"
1387,"0"
1388,"0"
1389,"0"
1390,"0"
1391,"0"
1392,"0"
1393,"0"
1394,"0"
1395,"0"
1396,"0"
1397,"0"
1398,"0"
1399,"0"
1400,"0"
1401,"0"
1402,"0"
1403,"0"
1404,"0"
1405,"0"
1406,"0"
1407,"0"
1408,"0"
1409,"0"
1410,"0"
1411,"0"
1412,"0"
1413,"0"
1414,"0"
1415,"0"
1416,"0"
1417,"0"
1418,"0"
1419,"0"
1420,"0"
1421,"0"
1422,"0"
1423,"0"
1424,"0"
1425,"0"
1426,"0"
1427,"0"
1428,"0"
1429,"0"
1430,"0"
1431,"0"
1432,"0"
1433,"0"
1434,"0"
1435,"0"
1436,"0"
1437,"0"
1438,"0"
1439,"0"
1440,"0"
1441,"0"
1442,"0"
1443,"0"
1444,"0"
1445,"0"
1446,"0"
1447,"0"
1448,"0"
1449,"0"
1450,"0"
1451,"0"
1452,"0"
1453,"0"
1454,"0"
1455,"0"
1456,"0"
1457,"0"
1458,"0"
1459,"0"
1460,"0"
1461,"0"
1462,"0"
1463,"0"
1464,"0"
1465,"0"
1466,"0"
1467,"0"
1468,"0"
1469,"0"
1470,"0"
1471,"0"
1472,"0"
1473,"0"
1474,"0"
1475,"0"
1476,"0"
1477,"0"
1478,"0"
1479,"0"
1480,"0"
1481,"0"
1482,"0"
1483,"0"
1484,"0"
1485,"0"
1486,"0"
1487,"0"
1488,"0"
1489,"0"
1490,"0"
1491,"0"
1492,"0"
1493,"0"
1494,"0"
1495,"0"
1496,"0"
1497,"0"
1498,"0"
1499,"0"
1500,"0"
1501,"0"
1502,"0"
1503,"0"
1504,"0"
1505,"0"
1506,"0"
1507,"0"
1508,"0"
1509,"0"
1510,"0"
1511,"0"
1512,"0"
1513,"0"
1514,"0"
1515,"0"
1516,"0"
1517,"0"
1518,"0"
1519,"0"
1520,"0"
1521,"0"
1522,"0"
1523,"0"
1524,"0"
1525,"0"
1526,"0"
1527,"0"
1528,"0"
1529,"0"
1530,"0"
1531,"0"
1532,"0"
1533,"0"
1534,"0"
1535,"0"
1536,"0"
1537,"0"
1538,"0"
1539,"0"
1540,"0"
1541,"0"
1542,"0"
1543,"0"
1544,"0"
1545,"0"
1546,"0"
1547,"0"
1548,"0"
1549,"0"
1550,"0"
1551,"0"
1552,"0"
1553,"0"
1554,"0"
1555,"0"
1556,"0"
1557,"0"
1558,"0"
1559,"0"
1560,"0"
1561,"0"
1562,"0"
1563,"0"
1564,"0"
1565,"0"
1566,"0"
1567,"0"
1568,"0"
1569,"0"
1570,"0"
1571,"0"
1572,"0"
1573,"0"
1574,"0"
1575,"0"
1576,"0"
1577,"0"
1578,"0"
1579,"0"
1580,"0"
1581,"0"
1582,"0"
1583,"0"
1584,"0"
1585,"0"
1586,"0"
1587,"0"
1588,"0"
1589,"0"
1590,"0"
1591,"0"
1592,"0"
1593,"0"
1594,"0"
1595,"0"
1596,"0"
1597,"0"
1598,"0"
1599,"0"
1600,"0"
1601,"0"
1602,"0"
1603,"0"
1604,"0"
1605,"0"
1606,"0"
1607,"0"
1608,"0"
1609,"0"
1610,"0"
1611,"0"
1612,"0"
1613,"0"
1614,"0"
1615,"0"
1616,"0"
1617,"0"
1618,"0"
1619,"0"
1620,"0"
1621,"0"
1622,"0"
1623,"0"
1624,"0"
1625,"0"
1626,"0"
1627,"0"
1628,"0"
1629,"0"
1630,"0"
1631,"0"
1632,"0"
1633,"0"
1634,"0"
1635,"0"
1636,"0"
1637,"0"
1638,"0"
1639,"0"
1640,"0"
1641,"0"
1642,"0"
1643,"0"
1644,"0"
1645,"0"
1646,"0"
1647,"0"
1648,"0"
1649,"0"
1650,"0"
1651,"0"
1652,"0"
1653,"0"
1654,"0"
1655,"0"
1656,"0"
1657,"0"
1658,"0"
1659,"0"
1660,"0"
1661,"0"
1662,"0"
1663,"0"
1664,"0"
1665,"0"
1666,"0"
1667,"0"
1668,"0"
1669,"0"
1670,"0"
1671,"0"
1672,"0"
1673,"0"
1674,"0"
1675,"0"
1676,"0"
1677,"0"
1678,"0"
1679,"0"
1680,"0"
1681,"0"
1682,"0"
1683,"0"
1684,"0"
1685,"0"
1686,"0"
1687,"0"
1688,"0"
1689,"0"
1690,"0"
1691,"0"
1692,"0"
1693,"0"
1694,"0"
1695,"0"
1696,"0"
1697,"0"
1698,"0"
1699,"0"
1700,"0"
1701,"0"
1702,"0"
1703,"0"
1704,"0"
1705,"0"
1706,"0"
1707,"0"
1708,"0"
1709,"0"
1710,"0"
1711,"0"
1712,"0"
1713,"0"
1714,"0"
1715,"0"
1716,"0"
1717,"0"
1718,"0"
1719,"0"
1720,"0"
1721,"0"
1722,"0"
1723,"0"
1724,"0"
1725,"0"
1726,"0"
1727,"0"
1728,"0"
1729,"0"
1730,"0"
1731,"0"
1732,"0"
1733,"0"
1734,"0"
1735,"0"
1736,"0"
1737,"0"
1738,"0"
1739,"0"
1740,"0"
1741,"0"
1742,"0"
1743,"0"
1744,"0"
1745,"0"
1746,"0"
1747,"0"
1748,"0"
1749,"0"
1750,"0"
1751,"0"
1752,"0"
1753,"0"
1754,"0"
1755,"0"
1756,"0"
1757,"0"
1758,"0"
1759,"0"
1760,"0"
1761,"0"
1762,"0"
1763,"0"
1764,"0"
1765,"0"
1766,"0"
1767,"0"
1768,"0"
1769,"0"
1770,"0"
1771,"0"
1772,"0"
1773,"0"
1774,"0"
1775,"0"
1776,"0"
1777,"0"
1778,"0"
1779,"0"
1780,"0"
1781,"0"
1782,"0"
1783,"0"
1784,"0"
1785,"0"
1786,"0"
1787,"0"
1788,"0"
1789,"0"
1790,"0"
1791,"0"
1792,"0"
1793,"0"
1794,"0"
1795,"0"
1796,"0"
1797,"0"
1798,"0"
1799,"0"
1800,"0"
1801,"0"
1802,"0"
1803,"0"
1804,"0"
1805,"0"
1806,"0"
1807,"0"
1808,"0"
1809,"0"
1810,"0"
1811,"0"
1812,"0"
1813,"0"
1814,"0"
1815,"0"
1816,"0"
1817,"0"
1818,"0"
1819,"0"
1820,"0"
1821,"0"
1822,"0"
1823,"0"
1824,"0"
1825,"0"
1826,"0"
1827,"0"
1828,"0"
1829,"0"
1830,"0"
1831,"0"
1832,"0"
1833,"0"
1834,"0"
1835,"0"
1836,"0"
1837,"0"
1838,"0"
1839,"0"
1840,"0"
1841,"0"
1842,"0"
1843,"0"
1844,"0"
1845,"0"
1846,"0"
1847,"0"
1848,"0"
1849,"0"
1850,"0"
1851,"0"
1852,"0"
1853,"0"
1854,"0"
1855,"0"
1856,"0"
1857,"0"
1858,"0"
1859,"0"
1860,"0"
1861,"0"
1862,"0"
1863,"0"
1864,"0"
1865,"0"
1866,"0"
1867,"0"
1868,"0"
1869,"0"
1870,"0"
1871,"0"
1872,"0"
1873,"0"
1874,"0"
1875,"0"
1876,"0"
1877,"0"
1878,"0"
1879,"0"
1880,"0"
1881,"0"
1882,"0"
1883,"0"
1884,"0"
1885,"0"
1886,"0"
1887,"0"
1888,"0"
1889,"0"
1890,"0"
1891,"0"
1892,"0"
1893,"0"
1894,"0"
1895,"0"
1896,"0"
1897,"0"
1898,"0"
1899,"0"
1900,"0"
1901,"0"
1902,"0"
1903,"0"
1904,"0"
1905,"0"
1906,"0"
1907,"0"
1908,"0"
1909,"0"
1910,"0"
1911,"0"
1912,"0"
1913,"0"
1914,"0"
1915,"0"
1916,"0"
1917,"0"
1918,"0"
1919,"0"
1920,"0"
1921,"0"
1922,"0"
1923,"0"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"0"
1929,"0"
1930,"0"
1931,"0"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"0"
1937,"0"
1938,"0"
1939,"0"
1940,"0"
1941,"0"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"0"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"0"
1953,"0"
1954,"0"
1955,"0"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"0"
1987,"0"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"0"
2042,"0"
2043,"0"
2044,"0"
2045,"0"
2046,"0"
2047,"0"


