Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15W25-IVSD-MAJ"
521,"2133"
522,"2110"
523,"2115"
524,"2097"
525,"2008"
526,"2077"
527,"2051"
528,"2052"
529,"2031"
530,"1996"
531,"2108"
532,"2012"
533,"2053"
534,"1939"
535,"1982"
536,"1983"
537,"1969"
538,"2000"
539,"1964"
540,"1942"
541,"1871"
542,"1901"
543,"1920"
544,"1860"
545,"1836"
546,"1836"
547,"1900"
548,"1882"
549,"1838"
550,"1838"
551,"1838"
552,"1788"
553,"1796"
554,"1859"
555,"1802"
556,"1750"
557,"1789"
558,"1803"
559,"1730"
560,"1673"
561,"1722"
562,"1757"
563,"1728"
564,"1709"
565,"1774"
566,"1659"
567,"1761"
568,"1660"
569,"1661"
570,"1671"
571,"1680"
572,"1672"
573,"1680"
574,"1597"
575,"1639"
576,"1623"
577,"1651"
578,"1607"
579,"1633"
580,"1649"
581,"1592"
582,"1539"
583,"1499"
584,"1647"
585,"1558"
586,"1506"
587,"1488"
588,"1496"
589,"1527"
590,"1513"
591,"1485"
592,"1474"
593,"1479"
594,"1468"
595,"1491"
596,"1472"
597,"1438"
598,"1402"
599,"1355"
600,"1428"
601,"1395"
602,"1356"
603,"1405"
604,"1450"
605,"1355"
606,"1350"
607,"1328"
608,"1333"
609,"1373"
610,"1332"
611,"1294"
612,"1340"
613,"1278"
614,"1345"
615,"1279"
616,"1244"
617,"1243"
618,"1302"
619,"1206"
620,"1189"
621,"1240"
622,"1190"
623,"1227"
624,"1190"
625,"1210"
626,"1132"
627,"1116"
628,"1168"
629,"1130"
630,"1166"
631,"1094"
632,"1117"
633,"1092"
634,"1156"
635,"1108"
636,"1133"
637,"1117"
638,"1099"
639,"1068"
640,"1074"
641,"1069"
642,"1136"
643,"1135"
644,"1173"
645,"1125"
646,"1146"
647,"1187"
648,"1113"
649,"1129"
650,"1036"
651,"1025"
652,"986"
653,"966"
654,"932"
655,"948"
656,"922"
657,"887"
658,"854"
659,"858"
660,"806"
661,"819"
662,"830"
663,"838"
664,"789"
665,"753"
666,"806"
667,"798"
668,"775"
669,"808"
670,"774"
671,"703"
672,"741"
673,"749"
674,"732"
675,"769"
676,"762"
677,"729"
678,"722"
679,"702"
680,"673"
681,"662"
682,"645"
683,"662"
684,"601"
685,"601"
686,"529"
687,"601"
688,"527"
689,"551"
690,"555"
691,"536"
692,"521"
693,"482"
694,"502"
695,"490"
696,"484"
697,"470"
698,"443"
699,"413"
700,"410"
701,"407"
702,"427"
703,"391"
704,"369"
705,"370"
706,"358"
707,"342"
708,"373"
709,"316"
710,"347"
711,"335"
712,"296"
713,"262"
714,"266"
715,"267"
716,"225"
717,"245"
718,"220"
719,"235"
720,"203"
721,"200"
722,"173"
723,"199"
724,"163"
725,"175"
726,"170"
727,"128"
728,"156"
729,"131"
730,"130"
731,"106"
732,"132"
733,"119"
734,"117"
735,"109"
736,"99"
737,"103"
738,"94"
739,"87"
740,"81"
741,"74"
742,"58"
743,"58"
744,"62"
745,"45"
746,"63"
747,"65"
748,"46"
749,"38"
750,"26"
751,"32"
752,"26"
753,"32"
754,"21"
755,"22"
756,"16"
757,"20"
758,"11"
759,"7"
760,"7"
761,"8"
762,"8"
763,"9"
764,"8"
765,"14"
766,"7"
767,"11"
768,"8"
769,"5"
770,"7"
771,"7"
772,"5"
773,"8"
774,"9"
775,"3"
776,"4"
777,"9"
778,"7"
779,"9"
780,"9"
781,"5"
782,"7"
783,"7"
784,"3"
785,"9"
786,"7"
787,"8"
788,"7"
789,"8"
790,"9"
791,"10"
792,"10"
793,"7"
794,"7"
795,"7"
796,"6"
797,"6"
798,"6"
799,"7"
800,"10"
801,"7"
802,"4"
803,"7"
804,"3"
805,"4"
806,"9"
807,"6"
808,"5"
809,"9"
810,"3"
811,"5"
812,"2"
813,"4"
814,"9"
815,"10"
816,"3"
817,"7"
818,"8"
819,"8"
820,"4"
821,"10"
822,"4"
823,"3"
824,"6"
825,"6"
826,"3"
827,"5"
828,"6"
829,"7"
830,"10"
831,"4"
832,"4"
833,"7"
834,"5"
835,"5"
836,"3"
837,"8"
838,"8"
839,"5"
840,"5"
841,"2"
842,"8"
843,"5"
844,"4"
845,"7"
846,"6"
847,"3"
848,"10"
849,"6"
850,"12"
851,"7"
852,"3"
853,"5"
854,"6"
855,"2"
856,"4"
857,"4"
858,"6"
859,"5"
860,"4"
861,"7"
862,"2"
863,"5"
864,"7"
865,"5"
866,"5"
867,"4"
868,"4"
869,"4"
870,"6"
871,"8"
872,"4"
873,"5"
874,"0"
875,"7"
876,"1"
877,"6"
878,"7"
879,"4"
880,"5"
881,"3"
882,"9"
883,"1"
884,"2"
885,"6"
886,"7"
887,"4"
888,"8"
889,"2"
890,"2"
891,"7"
892,"6"
893,"4"
894,"2"
895,"7"
896,"4"
897,"6"
898,"5"
899,"5"
900,"4"
901,"3"
902,"3"
903,"4"
904,"4"
905,"3"
906,"4"
907,"4"
908,"3"
909,"5"
910,"3"
911,"3"
912,"1"
913,"2"
914,"3"
915,"2"
916,"7"
917,"4"
918,"3"
919,"6"
920,"3"
921,"5"
922,"3"
923,"4"
924,"2"
925,"2"
926,"2"
927,"5"
928,"0"
929,"3"
930,"2"
931,"3"
932,"3"
933,"1"
934,"7"
935,"4"
936,"4"
937,"1"
938,"1"
939,"3"
940,"1"
941,"4"
942,"5"
943,"6"
944,"6"
945,"3"
946,"2"
947,"5"
948,"2"
949,"4"
950,"4"
951,"3"
952,"1"
953,"2"
954,"3"
955,"1"
956,"7"
957,"3"
958,"4"
959,"0"
960,"3"
961,"4"
962,"2"
963,"2"
964,"4"
965,"5"
966,"9"
967,"3"
968,"1"
969,"2"
970,"2"
971,"2"
972,"4"
973,"4"
974,"6"
975,"3"
976,"2"
977,"2"
978,"6"
979,"2"
980,"3"
981,"3"
982,"5"
983,"3"
984,"2"
985,"3"
986,"2"
987,"2"
988,"6"
989,"1"
990,"2"
991,"3"
992,"2"
993,"1"
994,"2"
995,"2"
996,"3"
997,"3"
998,"2"
999,"3"
1000,"3"
1001,"3"
1002,"2"
1003,"1"
1004,"1"
1005,"3"
1006,"1"
1007,"0"
1008,"3"
1009,"6"
1010,"0"
1011,"2"
1012,"1"
1013,"2"
1014,"1"
1015,"2"
1016,"1"
1017,"3"
1018,"2"
1019,"2"
1020,"0"
1021,"3"
1022,"0"
1023,"4"
1024,"0"
1025,"2"
1026,"0"
1027,"0"
1028,"1"
1029,"0"
1030,"0"
1031,"1"
1032,"0"
1033,"2"
1034,"0"
1035,"0"
1036,"1"
1037,"1"
1038,"1"
1039,"2"
1040,"2"
1041,"0"
1042,"2"
1043,"0"
1044,"0"
1045,"0"
1046,"0"
1047,"0"
1048,"0"
1049,"1"
1050,"1"
1051,"1"
1052,"0"
1053,"1"
1054,"2"
1055,"1"
1056,"0"
1057,"2"
1058,"1"
1059,"0"
1060,"0"
1061,"1"
1062,"1"
1063,"0"
1064,"0"
1065,"1"
1066,"1"
1067,"1"
1068,"0"
1069,"2"
1070,"2"
1071,"1"
1072,"2"
1073,"0"
1074,"2"
1075,"1"
1076,"3"
1077,"1"
1078,"0"
1079,"0"
1080,"0"
1081,"0"
1082,"1"
1083,"0"
1084,"0"
1085,"0"
1086,"0"
1087,"1"
1088,"0"
1089,"1"
1090,"0"
1091,"0"
1092,"0"
1093,"0"
1094,"0"
1095,"0"
1096,"0"
1097,"0"
1098,"0"
1099,"0"
1100,"0"
1101,"0"
1102,"0"
1103,"0"
1104,"0"
1105,"0"
1106,"0"
1107,"0"
1108,"2"
1109,"0"
1110,"0"
1111,"0"
1112,"0"
1113,"0"
1114,"0"
1115,"0"
1116,"0"
1117,"0"
1118,"2"
1119,"1"
1120,"2"
1121,"0"
1122,"1"
1123,"0"
1124,"0"
1125,"0"
1126,"0"
1127,"0"
1128,"0"
1129,"0"
1130,"1"
1131,"0"
1132,"0"
1133,"0"
1134,"0"
1135,"0"
1136,"0"
1137,"0"
1138,"0"
1139,"0"
1140,"0"
1141,"0"
1142,"1"
1143,"0"
1144,"0"
1145,"0"
1146,"0"
1147,"0"
1148,"2"
1149,"0"
1150,"0"
1151,"0"
1152,"1"
1153,"0"
1154,"0"
1155,"0"
1156,"0"
1157,"0"
1158,"0"
1159,"0"
1160,"0"
1161,"1"
1162,"1"
1163,"0"
1164,"0"
1165,"0"
1166,"0"
1167,"0"
1168,"0"
1169,"0"
1170,"0"
1171,"0"
1172,"0"
1173,"0"
1174,"0"
1175,"0"
1176,"0"
1177,"0"
1178,"0"
1179,"0"
1180,"1"
1181,"0"
1182,"0"
1183,"0"
1184,"0"
1185,"0"
1186,"0"
1187,"0"
1188,"0"
1189,"0"
1190,"0"
1191,"0"
1192,"0"
1193,"0"
1194,"0"
1195,"0"
1196,"0"
1197,"0"
1198,"0"
1199,"1"
1200,"1"
1201,"0"
1202,"1"
1203,"0"
1204,"1"
1205,"0"
1206,"0"
1207,"0"
1208,"0"
1209,"0"
1210,"0"
1211,"0"
1212,"0"
1213,"0"
1214,"0"
1215,"0"
1216,"0"
1217,"1"
1218,"0"
1219,"0"
1220,"0"
1221,"0"
1222,"1"
1223,"0"
1224,"0"
1225,"0"
1226,"0"
1227,"0"
1228,"1"
1229,"0"
1230,"0"
1231,"0"
1232,"0"
1233,"0"
1234,"1"
1235,"0"
1236,"0"
1237,"0"
1238,"0"
1239,"0"
1240,"0"
1241,"0"
1242,"0"
1243,"0"
1244,"0"
1245,"0"
1246,"0"
1247,"0"
1248,"0"
1249,"0"
1250,"0"
1251,"0"
1252,"0"
1253,"0"
1254,"0"
1255,"0"
1256,"0"
1257,"0"
1258,"0"
1259,"0"
1260,"0"
1261,"0"
1262,"0"
1263,"1"
1264,"0"
1265,"0"
1266,"0"
1267,"0"
1268,"1"
1269,"0"
1270,"0"
1271,"0"
1272,"0"
1273,"0"
1274,"0"
1275,"1"
1276,"0"
1277,"0"
1278,"1"
1279,"0"
1280,"0"
1281,"0"
1282,"0"
1283,"0"
1284,"0"
1285,"0"
1286,"0"
1287,"0"
1288,"0"
1289,"0"
1290,"0"
1291,"0"
1292,"0"
1293,"0"
1294,"0"
1295,"0"
1296,"0"
1297,"0"
1298,"0"
1299,"1"
1300,"0"
1301,"0"
1302,"0"
1303,"0"
1304,"0"
1305,"0"
1306,"0"
1307,"1"
1308,"0"
1309,"0"
1310,"0"
1311,"0"
1312,"0"
1313,"0"
1314,"0"
1315,"0"
1316,"0"
1317,"0"
1318,"0"
1319,"0"
1320,"0"
1321,"0"
1322,"0"
1323,"0"
1324,"0"
1325,"0"
1326,"0"
1327,"0"
1328,"0"
1329,"0"
1330,"0"
1331,"0"
1332,"0"
1333,"0"
1334,"0"
1335,"0"
1336,"0"
1337,"0"
1338,"0"
1339,"0"
1340,"0"
1341,"0"
1342,"0"
1343,"0"
1344,"0"
1345,"0"
1346,"0"
1347,"0"
1348,"0"
1349,"0"
1350,"0"
1351,"0"
1352,"0"
1353,"0"
1354,"0"
1355,"0"
1356,"0"
1357,"0"
1358,"0"
1359,"0"
1360,"0"
1361,"0"
1362,"0"
1363,"1"
1364,"0"
1365,"0"
1366,"0"
1367,"0"
1368,"0"
1369,"0"
1370,"0"
1371,"0"
1372,"0"
1373,"0"
1374,"0"
1375,"0"
1376,"0"
1377,"0"
1378,"0"
1379,"0"
1380,"0"
1381,"0"
1382,"0"
1383,"0"
1384,"0"
1385,"0"
1386,"0"
1387,"0"
1388,"0"
1389,"0"
1390,"0"
1391,"0"
1392,"0"
1393,"0"
1394,"0"
1395,"0"
1396,"0"
1397,"0"
1398,"0"
1399,"0"
1400,"0"
1401,"0"
1402,"0"
1403,"0"
1404,"0"
1405,"0"
1406,"0"
1407,"0"
1408,"0"
1409,"0"
1410,"0"
1411,"0"
1412,"0"
1413,"0"
1414,"0"
1415,"0"
1416,"0"
1417,"0"
1418,"0"
1419,"0"
1420,"0"
1421,"0"
1422,"0"
1423,"0"
1424,"0"
1425,"0"
1426,"0"
1427,"0"
1428,"0"
1429,"0"
1430,"0"
1431,"0"
1432,"0"
1433,"0"
1434,"0"
1435,"0"
1436,"0"
1437,"0"
1438,"0"
1439,"0"
1440,"0"
1441,"0"
1442,"0"
1443,"0"
1444,"0"
1445,"0"
1446,"0"
1447,"0"
1448,"0"
1449,"0"
1450,"0"
1451,"0"
1452,"0"
1453,"0"
1454,"0"
1455,"0"
1456,"0"
1457,"0"
1458,"0"
1459,"0"
1460,"0"
1461,"0"
1462,"0"
1463,"0"
1464,"0"
1465,"0"
1466,"0"
1467,"0"
1468,"0"
1469,"0"
1470,"0"
1471,"0"
1472,"0"
1473,"0"
1474,"0"
1475,"0"
1476,"0"
1477,"0"
1478,"0"
1479,"0"
1480,"0"
1481,"0"
1482,"0"
1483,"0"
1484,"0"
1485,"0"
1486,"0"
1487,"0"
1488,"0"
1489,"0"
1490,"0"
1491,"0"
1492,"0"
1493,"0"
1494,"0"
1495,"0"
1496,"0"
1497,"0"
1498,"0"
1499,"0"
1500,"0"
1501,"0"
1502,"0"
1503,"0"
1504,"0"
1505,"0"
1506,"0"
1507,"0"
1508,"0"
1509,"0"
1510,"0"
1511,"0"
1512,"0"
1513,"0"
1514,"0"
1515,"0"
1516,"0"
1517,"0"
1518,"0"
1519,"0"
1520,"0"
1521,"0"
1522,"0"
1523,"0"
1524,"0"
1525,"0"
1526,"0"
1527,"0"
1528,"0"
1529,"0"
1530,"0"
1531,"0"
1532,"0"
1533,"0"
1534,"0"
1535,"0"
1536,"0"
1537,"0"
1538,"0"
1539,"0"
1540,"0"
1541,"0"
1542,"0"
1543,"0"
1544,"0"
1545,"0"
1546,"0"
1547,"0"
1548,"0"
1549,"0"
1550,"0"
1551,"0"
1552,"0"
1553,"0"
1554,"0"
1555,"0"
1556,"0"
1557,"0"
1558,"0"
1559,"0"
1560,"0"
1561,"0"
1562,"0"
1563,"0"
1564,"0"
1565,"0"
1566,"0"
1567,"0"
1568,"0"
1569,"0"
1570,"0"
1571,"0"
1572,"0"
1573,"0"
1574,"0"
1575,"0"
1576,"0"
1577,"0"
1578,"0"
1579,"0"
1580,"0"
1581,"0"
1582,"0"
1583,"0"
1584,"0"
1585,"0"
1586,"0"
1587,"0"
1588,"0"
1589,"0"
1590,"0"
1591,"0"
1592,"0"
1593,"0"
1594,"0"
1595,"0"
1596,"0"
1597,"0"
1598,"0"
1599,"0"
1600,"0"
1601,"0"
1602,"0"
1603,"0"
1604,"0"
1605,"0"
1606,"0"
1607,"0"
1608,"0"
1609,"0"
1610,"0"
1611,"0"
1612,"0"
1613,"0"
1614,"0"
1615,"0"
1616,"0"
1617,"0"
1618,"0"
1619,"0"
1620,"0"
1621,"0"
1622,"0"
1623,"0"
1624,"0"
1625,"0"
1626,"0"
1627,"0"
1628,"0"
1629,"0"
1630,"0"
1631,"0"
1632,"0"
1633,"0"
1634,"0"
1635,"0"
1636,"0"
1637,"0"
1638,"0"
1639,"0"
1640,"0"
1641,"0"
1642,"0"
1643,"0"
1644,"0"
1645,"0"
1646,"0"
1647,"0"
1648,"0"
1649,"0"
1650,"0"
1651,"0"
1652,"0"
1653,"0"
1654,"0"
1655,"0"
1656,"0"
1657,"0"
1658,"0"
1659,"0"
1660,"0"
1661,"0"
1662,"0"
1663,"0"
1664,"0"
1665,"0"
1666,"0"
1667,"0"
1668,"0"
1669,"0"
1670,"0"
1671,"0"
1672,"0"
1673,"0"
1674,"0"
1675,"0"
1676,"0"
1677,"0"
1678,"0"
1679,"0"
1680,"0"
1681,"0"
1682,"0"
1683,"0"
1684,"0"
1685,"0"
1686,"0"
1687,"0"
1688,"0"
1689,"0"
1690,"0"
1691,"0"
1692,"0"
1693,"0"
1694,"0"
1695,"0"
1696,"0"
1697,"0"
1698,"0"
1699,"0"
1700,"0"
1701,"0"
1702,"0"
1703,"0"
1704,"0"
1705,"0"
1706,"0"
1707,"0"
1708,"0"
1709,"0"
1710,"0"
1711,"0"
1712,"0"
1713,"0"
1714,"0"
1715,"0"
1716,"0"
1717,"0"
1718,"0"
1719,"0"
1720,"0"
1721,"0"
1722,"0"
1723,"0"
1724,"0"
1725,"0"
1726,"0"
1727,"0"
1728,"0"
1729,"0"
1730,"0"
1731,"0"
1732,"0"
1733,"0"
1734,"0"
1735,"0"
1736,"0"
1737,"0"
1738,"0"
1739,"0"
1740,"0"
1741,"0"
1742,"0"
1743,"0"
1744,"0"
1745,"0"
1746,"0"
1747,"0"
1748,"0"
1749,"0"
1750,"0"
1751,"0"
1752,"0"
1753,"0"
1754,"0"
1755,"0"
1756,"0"
1757,"0"
1758,"0"
1759,"0"
1760,"0"
1761,"0"
1762,"0"
1763,"0"
1764,"0"
1765,"0"
1766,"0"
1767,"0"
1768,"0"
1769,"0"
1770,"0"
1771,"0"
1772,"0"
1773,"0"
1774,"0"
1775,"0"
1776,"0"
1777,"0"
1778,"0"
1779,"0"
1780,"0"
1781,"0"
1782,"0"
1783,"0"
1784,"0"
1785,"0"
1786,"0"
1787,"0"
1788,"0"
1789,"0"
1790,"0"
1791,"0"
1792,"0"
1793,"0"
1794,"0"
1795,"0"
1796,"0"
1797,"0"
1798,"0"
1799,"0"
1800,"0"
1801,"0"
1802,"0"
1803,"0"
1804,"0"
1805,"0"
1806,"0"
1807,"0"
1808,"0"
1809,"0"
1810,"0"
1811,"0"
1812,"0"
1813,"0"
1814,"0"
1815,"0"
1816,"0"
1817,"0"
1818,"0"
1819,"0"
1820,"0"
1821,"0"
1822,"0"
1823,"0"
1824,"0"
1825,"0"
1826,"0"
1827,"0"
1828,"0"
1829,"0"
1830,"0"
1831,"0"
1832,"0"
1833,"0"
1834,"0"
1835,"0"
1836,"0"
1837,"0"
1838,"0"
1839,"0"
1840,"0"
1841,"0"
1842,"0"
1843,"0"
1844,"0"
1845,"0"
1846,"0"
1847,"0"
1848,"0"
1849,"0"
1850,"0"
1851,"0"
1852,"0"
1853,"0"
1854,"0"
1855,"0"
1856,"0"
1857,"0"
1858,"0"
1859,"0"
1860,"0"
1861,"0"
1862,"0"
1863,"0"
1864,"0"
1865,"0"
1866,"0"
1867,"0"
1868,"0"
1869,"0"
1870,"0"
1871,"0"
1872,"0"
1873,"0"
1874,"0"
1875,"0"
1876,"0"
1877,"0"
1878,"0"
1879,"0"
1880,"0"
1881,"0"
1882,"0"
1883,"0"
1884,"0"
1885,"0"
1886,"0"
1887,"0"
1888,"0"
1889,"0"
1890,"0"
1891,"0"
1892,"0"
1893,"0"
1894,"0"
1895,"0"
1896,"0"
1897,"0"
1898,"0"
1899,"0"
1900,"0"
1901,"0"
1902,"0"
1903,"0"
1904,"0"
1905,"0"
1906,"0"
1907,"0"
1908,"0"
1909,"0"
1910,"0"
1911,"0"
1912,"0"
1913,"0"
1914,"0"
1915,"0"
1916,"0"
1917,"0"
1918,"0"
1919,"0"
1920,"0"
1921,"0"
1922,"0"
1923,"0"
1924,"0"
1925,"0"
1926,"0"
1927,"0"
1928,"0"
1929,"0"
1930,"0"
1931,"0"
1932,"0"
1933,"0"
1934,"0"
1935,"0"
1936,"0"
1937,"0"
1938,"0"
1939,"0"
1940,"0"
1941,"0"
1942,"0"
1943,"0"
1944,"0"
1945,"0"
1946,"0"
1947,"0"
1948,"0"
1949,"0"
1950,"0"
1951,"0"
1952,"0"
1953,"0"
1954,"0"
1955,"0"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"0"
1962,"0"
1963,"0"
1964,"0"
1965,"0"
1966,"0"
1967,"0"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"0"
1976,"0"
1977,"0"
1978,"0"
1979,"0"
1980,"0"
1981,"0"
1982,"0"
1983,"0"
1984,"0"
1985,"0"
1986,"0"
1987,"0"
1988,"0"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"0"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"0"
2004,"0"
2005,"0"
2006,"0"
2007,"0"
2008,"0"
2009,"0"
2010,"0"
2011,"0"
2012,"0"
2013,"0"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"0"
2019,"0"
2020,"0"
2021,"0"
2022,"0"
2023,"0"
2024,"0"
2025,"0"
2026,"0"
2027,"0"
2028,"0"
2029,"0"
2030,"0"
2031,"0"
2032,"0"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
2037,"0"
2038,"0"
2039,"0"
2040,"0"
2041,"0"
2042,"0"
2043,"0"
2044,"0"
2045,"0"
2046,"0"
2047,"0"


